Stock,Date,Open,Close,Change %,Rank
指南针_sz_300803,2025-06-25,65.62,78.72,19.96,1
光线传媒_sz_300251,2025-06-16,18.53,22.1,19.27,2
财富趋势_sh_688318,2025-06-25,104.8,124.01,18.33,3
神州细胞_sh_688520,2025-07-03,62.0,73.34,18.29,4
生益电子_sh_688183,2025-06-18,43.04,50.0,16.17,5
欧普康视_sz_300595,2025-07-23,16.0,18.26,14.13,6
南网科技_sh_688248,2025-07-07,31.17,35.46,13.76,7
中材科技_sz_002080,2025-07-21,25.45,28.44,11.75,8
北方导航_sh_600435,2025-06-30,13.97,15.59,11.6,9
胜宏科技_sz_300476,2025-07-15,148.02,164.06,10.84,10
海思科_sz_002653,2025-06-12,43.16,47.7,10.52,11
杭钢股份_sh_600126,2025-07-08,8.68,9.58,10.37,12
中银证券_sh_601696,2025-07-10,10.74,11.85,10.34,13
广合科技_sz_001389,2025-07-08,59.19,65.19,10.14,14
深圳华强_sz_000062,2025-06-27,24.98,27.49,10.05,15
中兵红箭_sz_000519,2025-06-25,17.47,19.22,10.02,16
建元信托_sh_600816,2025-06-25,2.7,2.97,10.0,17
永安期货_sh_600927,2025-07-07,14.2,15.62,10.0,18
首钢股份_sz_000959,2025-07-02,3.51,3.86,9.97,19
丽珠集团_sz_000513,2025-07-16,38.63,42.47,9.94,20
石英股份_sh_603688,2025-06-16,31.31,34.4,9.87,21
景旺电子_sh_603228,2025-07-08,46.03,50.55,9.82,22
天风证券_sh_601162,2025-06-25,4.1,4.5,9.76,23
华海药业_sh_600521,2025-07-03,19.79,21.72,9.74,24
康弘药业_sz_002773,2025-07-22,39.0,42.8,9.74,25
湘财股份_sh_600095,2025-06-24,8.29,9.09,9.65,26
洪都航空_sh_600316,2025-07-18,36.51,39.92,9.34,27
中无人机_sh_688297,2025-06-13,45.8,50.05,9.28,28
绿地控股_sh_600606,2025-07-10,1.73,1.89,9.25,29
晋控煤业_sh_601001,2025-07-22,13.11,14.32,9.23,30
